t,(Var=C2) C2,(Var=CP) CP,(Var=CT) CT,(Var=EmptySet) EmptySet,(Var=J_Reaction1) J_Reaction1,(Var=J_Reaction2) J_Reaction2,(Var=J_Reaction3) J_Reaction3,(Var=J_Reaction4) J_Reaction4,(Var=J_Reaction5) J_Reaction5,(Var=J_Reaction6) J_Reaction6,(Var=J_Reaction7) J_Reaction7,(Var=J_Reaction8) J_Reaction8,(Var=J_Reaction9) J_Reaction9,(Var=M) M,(Var=pM) pM,(Var=Y) Y,(Var=YP) YP
630,867,867374.047507923,1000000,0,2194.0367587694,867000000,867000000,14998.7249666718,0,15000,0,2555.6391242386,2444.4272480518,2194.0367587694,129564.539478972,86.4605357387,4259.3985403976
631,844,843590.265534186,1000000,0,2684.6293346983,844000000,844000000,14998.7036903853,0,15000,0,2506.0235194855,2950.2007471732,2684.6293346983,152881.512168651,88.8980367791,4176.7058658092
634,816,816288.83250042,1000000,0,3305.4072503147,816000000,816000000,14998.6853040447,0,15000,0,2919.2557580736,3585.7962955523,3305.4072503147,179589.468099677,91.871190116,4865.426263456
637,784,783574.128508944,1000000,0,4156.5630098353,784000000,784000000,14998.6770460594,0,15000,0,3680.7872327627,4464.4347673722,4156.5630098353,211485.730185318,95.706816371,6134.6453879377
641,740,740279.739547019,1000000,0,5614.1447718805,740000000,740000000,14998.7169063076,0,15000,0,5029.8125942953,5998.0184538489,5614.1447718805,253365.830318034,101.3043860655,8383.0209904921
645,704,704141.396321968,1000000,0,7584.3347236445,704000000,704000000,14998.8791934649,0,15000,0,6773.9983137074,8153.7585735161,7584.3347236445,287570.119966324,106.5047394729,11289.9971895123
649,682,681997.514082274,1000000,0,10352.6980212188,682000000,682000000,14999.2503213294,0,15000,0,8992.080596652,11447.4744195032,10352.6980212188,306967.780025086,109.9655791379,14986.80099442
651,675,675337.381640579,1000000,0,13582.5525540067,675000000,675000000,14999.7643890581,0,15000,0,11192.2875229694,15895.0283583141,13582.5525540067,310404.714839808,111.0538583887,18653.8125382823
652,676,676044.053929392,1000000,0,18153.5713898934,676000000,676000000,15000.510402906,0,15000,0,13708.3751988733,23592.1796693559,18153.5713898934,305126.312476369,110.9432907199,22847.2919981222
653,681,680798.965951269,1000000,0,24812.7590203702,681000000,681000000,15001.571211118,0,15000,0,16568.5966324342,37835.7292371421,24812.7590203702,293707.451259465,110.1762191292,27614.3277207236
653,689,688582.657627655,1000000,0,35950.2090347653,689000000,689000000,15003.2749739931,0,15000,0,20215.4421196045,68869.1557274819,35950.2090347653,274778.514750702,108.9431661384,33692.4035326742
654,700,699740.152039967,1000000,0,56439.0071892752,700000000,700000000,15006.2543315727,0,15000,0,25230.1791900962,143773.294757079,56439.0071892752,243121.044221189,107.2273349459,42050.2986501603
654,714,714358.753576729,1000000,0,91867.1491768152,714000000,714000000,15011.1024821195,0,15000,0,31960.374106943,296756.453748201,91867.1491768152,193059.646702713,105.0669737507,53267.2901782384
654,732,732354.52375421,1000000,0,139938.28240244,732000000,732000000,15017.2145469088,0,15000,0,40496.6550484108,449857.408207984,139938.28240244,126974.699506419,102.5269460338,67494.4250806846
654,753,752554.014016026,1000000,0,178945.686107857,753000000,753000000,15021.583349605,0,15000,0,50121.2752118802,391708.339991205,178945.686107857,67747.5670803868,99.8040211721,83535.458686467
655,777,776654.488910483,1000000,0,193471.911678218,777000000,777000000,15022.2558013106,0,15000,0,61210.4075020981,196567.42677254,193471.911678218,29096.7516287511,96.7113176825,102017.34583683
655,801,801008.411187832,1000000,0,185101.427475295,801000000,801000000,15020.0157995374,0,15000,0,71545.9175876945,80958.629882029,185101.427475295,13088.9679940649,93.7569168423,119243.195979491
655,828,827482.139488051,1000000,0,164813.660576062,828000000,827000000,15016.5328688972,0,15000,0,81328.7635554507,33746.256006455,164813.660576062,6876.5531322542,90.7362960014,135547.939259084
655,851,851030.159547984,1000000,0,142952.543436999,851000000,851000000,15013.3469350409,0,15000,0,88330.9103212043,19095.9438102373,142952.543436999,5166.1240306134,88.2069029317,147218.183868674
655,871,871023.5049927,1000000,0,123111.650342597,871000000,871000000,15010.7613443779,0,15000,0,92626.2143307105,13713.5246944207,123111.650342597,4993.6981559429,86.1673723977,154377.023884518
655,893,892677.667635795,1000000,0,100741.441629011,893000000,893000000,15008.1220327375,0,15000,0,94981.4733516363,10493.3777369052,100741.441629011,5688.112411674,84.0623809515,158302.455586061
656,916,915484.077550039,1000000,0,76073.692978595,916000000,915000000,15005.4988580567,0,15000,0,93688.9723924994,7975.9905994934,76073.692978595,7526.6693810618,81.9539040931,156148.287320832
656,938,938297.722311415,1000000,0,49092.2826634456,938000000,938000000,15002.9228063013,0,15000,0,85344.262793545,5273.3603796391,49092.2826634456,11671.648244557,79.9475606172,142240.437989242
657,955,954518.826729578,1000000,0,23600.7946375963,955000000,955000000,15000.7164785117,0,15000,0,65315.1510323272,2474.680002374,23600.7946375963,20925.8362138719,78.5773735334,108858.585053879
658,956,955702.157249404,1000000,0,10780.4834390956,956000000,956000000,14999.6580198703,0,15000,0,45030.2881559853,1267.2793545923,10780.4834390956,32561.6463695427,78.4745430681,75050.4802599755
659,949,949166.645081573,1000000,0,5109.0305739468,949000000,949000000,14999.179419542,0,15000,0,29577.4546766273,1016.3240910839,5109.0305739468,44775.1525804841,79.0123604599,49295.7577943788
